Date;Hour;Down;Up;Total;max Rate;avg Rate;avg Rate values;95% Rate
 20:00;20;2940.027;2350.721;5290.748;766;638;3;766
 21:00;21;73.370;406.793;480.163;8771;1820;17;8771
 22:00;22;15.030;14.333;29.363;240;0;0;0
 23:00;23;18.456;24.529;42.985;1169;843;5;1169
2016-01-27 00:00;0;8.305;9.724;18.029;429;429;1;429
2016-01-27 01:00;1;9.784;27.414;37.198;3495;1883;2;3495
2016-01-27 02:00;2;5.956;4.772;10.728;222;0;0;0
2016-01-27 03:00;3;4.079;2.716;6.795;227;0;0;0
2016-01-27 04:00;4;5.848;4.293;10.141;253;253;1;253
2016-01-27 05:00;5;16.849;267.680;284.529;42792;13529;5;42792
2016-01-27 06:00;6;16.523;40.741;57.264;2114;1019;5;2114
2016-01-27 07:00;7;13.969;18.883;32.852;1037;1037;1;1037
2016-01-27 08:00;8;14.470;14.141;28.611;454;448;2;454
2016-01-27 09:00;9;25.777;19.129;44.906;389;389;1;389
2016-01-27 10:00;10;34.559;31.901;66.460;989;543;7;989
2016-01-27 11:00;11;55.539;113.132;168.671;5736;1360;21;3573
2016-01-27 12:00;12;510.709;6581.615;7092.324;4576;1907;603;3346
2016-01-27 13:00;13;162.547;1878.451;2040.998;3784;1877;177;3384
2016-01-27 14:00;14;327.523;500.014;827.537;1241;727;173;1003
2016-01-27 15:00;15;551.950;796.223;1348.173;3933;837;253;1196
2016-01-27 16:00;16;39.063;37.140;76.203;1598;882;7;1598
2016-01-27 17:00;17;27.035;19.454;46.489;282;282;1;282
2016-01-27 18:00;18;27.934;20.214;48.148;456;358;2;456
2016-01-27 19:00;19;26.373;18.440;44.813;223;0;0;0
2016-01-27 20:00;20;31.817;24.346;56.163;1411;580;6;1411
2016-01-27 21:00;21;25.567;19.097;44.664;316;316;1;316
2016-01-27 22:00;22;34.763;34.691;69.454;1612;997;5;1612
2016-01-27 23:00;23;25.642;18.436;44.078;369;369;1;369
2016-01-28 00:00;0;30.421;21.290;51.711;406;342;3;406
2016-01-28 01:00;1;983.180;1893.015;2876.195;3927;1012;463;1371
2016-01-28 02:00;2;200.157;356.810;556.967;1495;1066;78;1439
2016-01-28 03:00;3;27.779;18.708;46.487;227;0;0;0
2016-01-28 04:00;4;101.464;39.235;140.699;6908;1294;14;6908
2016-01-28 05:00;5;28.370;35.975;64.345;1001;492;6;1001
2016-01-28 06:00;6;24.990;19.520;44.510;482;321;4;482
2016-01-28 07:00;7;33.370;35.058;68.428;1086;729;6;1086
2016-01-28 08:00;8;34.966;40.532;75.498;1081;588;7;1081
2016-01-28 09:00;9;27.984;26.484;54.468;815;410;4;815
2016-01-28 10:00;10;26.815;19.915;46.730;343;343;1;343
2016-01-28 11:00;11;25.489;20.565;46.054;344;336;3;344
2016-01-28 12:00;12;53.809;65.453;119.262;2034;1003;14;2034
2016-01-28 13:00;13;31.080;25.571;56.651;2079;1169;3;2079
2016-01-28 14:00;14;27.096;21.890;48.986;780;454;5;780
2016-01-28 15:00;15;162.013;192.480;354.493;1883;765;56;1186
2016-01-28 16:00;16;168282.208;3821.419;172103.627;364113;103994;211;274592
2016-01-28 17:00;17;112.874;120.410;233.284;1653;494;43;884
2016-01-28 18:00;18;296.068;534.390;830.458;1408;660;187;1000
2016-01-28 19:00;19;38.052;31.238;69.290;333;304;3;333
2016-01-28 20:00;20;99.110;305.276;404.386;51017;9719;9;51017
2016-01-28 21:00;21;155.500;202.211;357.711;6483;2971;16;6483
2016-01-28 22:00;22;27.422;27.649;55.071;366;309;4;366
2016-01-28 23:00;23;36.488;36.570;73.058;1367;1018;6;1367
2016-01-29 00:00;0;26.726;20.268;46.994;909;909;1;909
2016-01-29 01:00;1;27.412;20.946;48.358;341;292;3;341
2016-01-29 02:00;2;27.022;19.768;46.790;262;258;3;262
2016-01-29 03:00;3;27.569;29.702;57.271;2023;1095;3;2023
2016-01-29 04:00;4;147.133;218.580;365.713;6713;926;57;3946
2016-01-29 05:00;5;55.159;348.869;404.028;37227;5767;13;37227
2016-01-29 06:00;6;68.816;81.257;150.073;1746;817;17;1746
2016-01-29 07:00;7;33.349;32.579;65.928;1177;807;5;1177
2016-01-29 08:00;8;26.031;20.610;46.641;542;542;1;542
2016-01-29 09:00;9;46.334;345.846;392.180;38108;6118;11;38108
2016-01-29 10:00;10;54.147;70.995;125.142;2400;1554;8;2400
2016-01-29 11:00;11;23.387;18.954;42.341;281;281;1;281
2016-01-29 12:00;12;36.257;34.710;70.967;1221;653;7;1221
2016-01-29 13:00;13;23.745;25.324;49.069;847;377;6;847
2016-01-29 14:00;14;24.685;18.913;43.598;301;301;1;301
2016-01-29 15:00;15;27.840;19.482;47.322;411;347;6;411
2016-01-29 16:00;16;32.256;31.526;63.782;1469;977;6;1469
2016-01-29 17:00;17;72.946;104.202;177.148;1198;680;26;1097
2016-01-29 18:00;18;59.524;81.989;141.513;2998;1185;13;2998
2016-01-30 13:00;13;38.731;321.120;359.851;50522;18140;4;50522
2016-01-30 14:00;14;38.038;31.680;69.718;247;0;0;0
2016-01-30 15:00;15;110.740;1254.372;1365.112;39505;5874;33;39199
2016-01-30 16:00;16;175.339;242.921;418.260;2081;697;83;1431
2016-01-30 17:00;17;214.468;194.339;408.807;2706;623;79;2194
2016-01-30 18:00;18;192.024;220.441;412.465;1891;538;57;1505
2016-01-30 19:00;19;177.206;250.577;427.783;2104;586;85;1529
2016-01-30 20:00;20;311.783;418.608;730.391;2273;636;164;1502
2016-01-30 21:00;21;131.700;102.518;234.218;4179;648;33;1439
2016-01-30 22:00;22;169.131;229.236;398.367;2087;726;71;1377
2016-01-30 23:00;23;70.745;82.063;152.808;1239;709;21;1185
2016-01-31 00:00;0;30.030;27.642;57.672;415;337;2;415
2016-01-31 01:00;1;80.310;106.352;186.662;2312;869;25;2293
2016-01-31 02:00;2;116.179;167.025;283.204;1104;568;56;1054
2016-01-31 03:00;3;36.688;23.168;59.856;2990;1235;3;2990
2016-01-31 04:00;4;42.931;23.338;66.269;1020;1020;1;1020
2016-01-31 05:00;5;124.495;167.125;291.620;1169;573;57;1112
2016-01-31 06:00;6;31.176;27.170;58.346;627;455;5;627
2016-01-31 07:00;7;25.802;19.606;45.408;244;0;0;0
2016-01-31 08:00;8;2.477;8.504;10.981;558;472;2;558
2016-01-31 09:00;9;41.232;40.636;81.868;1366;1025;4;1366
2016-01-31 10:00;10;48.575;51.906;100.481;996;593;12;996
2016-01-31 11:00;11;45.502;326.605;372.107;12303;1944;9;12303
2016-01-31 12:00;12;138.218;191.784;330.002;1967;732;61;1357
2016-01-31 13:00;13;25.560;19.911;45.471;282;282;1;282
2016-01-31 14:00;14;35.118;33.886;69.004;1080;563;5;1080
2016-01-31 15:00;15;263.426;372.438;635.864;2067;750;129;1801
2016-01-31 16:00;16;26.134;21.357;47.491;484;353;3;484
2016-01-31 17:00;17;251.712;370.899;622.611;2220;741;126;1288
2016-01-31 18:00;18;33.352;48.910;82.262;7766;4025;2;7766
2016-01-31 19:00;19;24.994;19.978;44.972;274;274;1;274
2016-01-31 20:00;20;45.308;39.994;85.302;1685;668;9;1685
2016-01-31 21:00;21;108.454;92.682;201.136;2627;709;35;2029
2016-01-31 22:00;22;28.865;24.976;53.841;813;469;3;813
2016-01-31 23:00;23;44.888;63.734;108.622;1439;893;14;1439
2016-02-01 00:00;0;227.963;337.326;565.289;2105;716;120;1488
2016-02-01 01:00;1;15.570;20.718;36.288;1458;962;6;1458
2016-02-01 02:00;2;41.408;78.181;119.589;1731;1016;16;1731
2016-02-01 03:00;3;312.715;528.180;840.895;2080;825;165;1305
2016-02-01 04:00;4;477.016;938.748;1415.764;1807;858;275;1141
2016-02-01 05:00;5;24.783;33.179;57.962;898;623;10;898
2016-02-01 06:00;6;29.552;32.038;61.590;596;398;7;596
2016-02-01 07:00;7;162.169;214.631;376.800;2213;734;73;1974
2016-02-01 08:00;8;34.491;37.266;71.757;1734;933;8;1734
2016-02-01 09:00;9;86.603;134.650;221.253;1816;896;35;1611
2016-02-01 10:00;10;119.773;155.329;275.102;1957;849;45;1334
2016-02-01 11:00;11;321.406;491.759;813.165;3946;988;123;2324
2016-02-01 12:00;12;29.032;21.145;50.177;1883;801;3;1883
2016-02-01 13:00;13;37.713;39.717;77.430;748;455;8;748
2016-02-01 14:00;14;50.779;59.510;110.289;1063;621;16;1063
2016-02-01 15:00;15;56.695;49.756;106.451;1305;739;10;1305
2016-02-01 16:00;16;28.723;40.956;69.679;3361;778;7;3361
2016-02-01 17:00;17;71.913;90.923;162.836;1898;1170;20;1690
2016-02-01 18:00;18;121.806;166.392;288.198;1820;591;61;1093
2016-02-01 19:00;19;47.839;115.782;163.621;5380;1748;13;5380
2016-02-01 20:00;20;183.124;160.632;343.756;2108;647;74;1393
2016-02-01 21:00;21;90.393;119.144;209.537;7698;956;28;2039
2016-02-01 22:00;22;73.725;94.330;168.055;1178;736;25;1141
2016-02-01 23:00;23;63.349;69.067;132.416;1186;611;22;1172
2016-02-02 00:00;0;32.861;31.594;64.455;1385;546;7;1385
2016-02-02 01:00;1;145.345;199.375;344.720;2149;732;65;1678
2016-02-02 02:00;2;310.179;505.073;815.252;1246;643;191;1001
2016-02-02 03:00;3;34.875;33.831;68.706;1732;568;9;1732
2016-02-02 04:00;4;25.503;35.422;60.925;4318;1285;4;4318
2016-02-02 05:00;5;287.877;398.524;686.401;3552;762;136;1527
2016-02-02 06:00;6;57.590;76.894;134.484;1049;644;21;919
2016-02-02 07:00;7;25.527;18.880;44.407;394;327;2;394
2016-02-02 08:00;8;24.408;17.690;42.098;260;260;1;260
2016-02-02 09:00;9;305.887;441.691;747.578;2077;808;144;1852
2016-02-02 10:00;10;27.362;21.072;48.434;1150;580;3;1150
2016-02-02 11:00;11;27.951;22.457;50.408;445;406;2;445
2016-02-02 12:00;12;312.103;543.342;855.445;1922;1004;140;1363
2016-02-02 13:00;13;322.780;460.270;783.050;2435;855;140;1655
2016-02-02 14:00;14;74.663;103.078;177.741;1612;1139;19;1612
2016-02-02 15:00;15;31.582;26.698;58.280;885;483;4;885
2016-02-02 16:00;16;217.639;284.074;501.713;2314;630;105;1113
2016-02-02 17:00;17;29.414;25.680;55.094;479;343;6;479
2016-02-02 18:00;18;43.174;22.729;65.903;3975;1224;4;3975
2016-02-02 19:00;19;192.666;284.877;477.543;2043;790;86;1593
2016-02-02 20:00;20;297.985;414.222;712.207;14334;854;123;1393
2016-02-02 21:00;21;480.277;752.169;1232.446;2122;868;215;1519
2016-02-02 22:00;22;27.341;19.967;47.308;434;311;4;434
2016-02-02 23:00;23;81.985;119.263;201.248;1436;776;30;1404
2016-02-03 00:00;0;120.958;176.446;297.404;1247;889;46;1163
2016-02-03 01:00;1;28.186;21.043;49.229;394;295;6;394
2016-02-03 02:00;2;61.172;67.828;129.000;1130;616;21;1044
2016-02-03 03:00;3;214.541;249.243;463.784;2796;734;90;1958
2016-02-03 04:00;4;115.838;118.590;234.428;3387;922;27;2679
2016-02-03 05:00;5;123.825;166.405;290.230;1998;765;54;1626
2016-02-03 06:00;6;181.117;243.786;424.903;2135;792;77;1734
2016-02-03 07:00;7;33.416;39.267;72.683;1070;927;5;1070
2016-02-03 08:00;8;24.249;17.365;41.614;342;278;4;342
2016-02-03 09:00;9;195.077;256.024;451.101;1176;671;82;1126
2016-02-03 10:00;10;163.344;252.529;415.873;1672;1123;58;1637
2016-02-03 11:00;11;25.098;20.372;45.470;281;281;1;281
2016-02-03 12:00;12;42.954;45.590;88.544;2115;894;12;2115
2016-02-03 13:00;13;172.681;241.376;414.057;2101;657;78;1132
2016-02-03 14:00;14;107.869;126.467;234.336;6552;1252;26;1802
2016-02-03 15:00;15;25.188;18.326;43.514;347;316;3;347
2016-02-03 16:00;16;676.565;1985.644;2662.209;49702;1887;238;5759
2016-02-03 17:00;17;80.757;109.414;190.171;5707;1666;13;5707
2016-02-03 18:00;18;63.682;65.548;129.230;1840;665;22;1549
2016-02-03 19:00;19;381.384;1655.678;2037.062;37576;1619;205;4488
2016-02-03 20:00;20;147.361;192.383;339.744;2276;763;58;2120
2016-02-03 21:00;21;28.263;22.799;51.062;711;467;3;711
2016-02-03 22:00;22;37.687;48.116;85.803;960;528;13;960
2016-02-03 23:00;23;119.720;176.321;296.041;3244;662;54;1085
2016-02-04 00:00;0;18.248;22.931;41.179;801;801;1;801
2016-02-04 01:00;1;5.851;6.057;11.908;929;929;1;929
2016-02-04 02:00;2;5.716;4.166;9.882;228;0;0;0
2016-02-04 03:00;3;249.224;379.049;628.273;3631;755;131;1695
2016-02-04 04:00;4;51.677;78.998;130.675;1440;867;22;1407
2016-02-04 05:00;5;67.832;81.708;149.540;1650;617;29;1063
2016-02-04 06:00;6;68.158;86.777;154.935;1141;584;25;1105
2016-02-04 07:00;7;26.792;23.076;49.868;634;363;5;634
2016-02-04 08:00;8;129.011;196.258;325.269;1633;632;58;1092
2016-02-04 09:00;9;83.766;110.220;193.986;1253;616;36;1189
2016-02-04 10:00;10;126.930;165.882;292.812;1464;633;55;1169
2016-02-04 11:00;11;47.199;52.141;99.340;1059;568;14;1059
2016-02-04 12:00;12;105.949;141.097;247.046;1995;759;43;1314
2016-02-04 13:00;13;149.804;487.895;637.699;41906;1779;67;1281
2016-02-04 14:00;14;49.609;61.962;111.571;1254;601;14;1254
2016-02-04 15:00;15;58.974;89.147;148.121;3852;1025;20;2275
2016-02-04 16:00;16;147.194;193.960;341.154;1651;558;71;1070
2016-02-04 17:00;17;241.999;369.734;611.733;3558;731;118;1464
2016-02-04 18:00;18;31.161;27.832;58.993;1056;530;4;1056
2016-02-04 19:00;19;59.662;68.860;128.522;1096;584;22;1006
2016-02-04 20:00;20;144.786;236.229;381.015;3672;833;62;2299
2016-02-04 21:00;21;518.655;778.250;1296.905;1424;751;269;1113
2016-02-04 22:00;22;624.901;919.036;1543.937;2628;804;304;1207
2016-02-04 23:00;23;216.997;312.190;529.187;2047;624;105;1147
2016-02-05 00:00;0;24.561;18.687;43.248;260;260;1;260
2016-02-05 01:00;1;156.955;216.992;373.947;3153;687;69;1526
2016-02-05 02:00;2;32.748;30.520;63.268;1050;471;8;1050
2016-02-05 03:00;3;49.615;66.265;115.880;1228;626;19;1228
2016-02-05 04:00;4;237.344;543.701;781.045;33462;1127;88;1185
2016-02-05 05:00;5;65.925;27.350;93.275;1924;807;7;1924
2016-02-05 06:00;6;73.689;92.681;166.370;2070;798;28;1995
2016-02-05 07:00;7;120.338;167.863;288.201;1844;773;53;1546
2016-02-05 08:00;8;270.320;417.843;688.163;2040;696;123;1195
2016-02-05 09:00;9;233.680;364.532;598.212;2883;900;100;1748
2016-02-05 10:00;10;219.565;412.305;631.870;2078;868;110;1742
2016-02-05 11:00;11;391.557;567.283;958.840;2101;771;186;1486
2016-02-05 12:00;12;34.449;47.226;81.675;1041;608;15;1041
2016-02-05 13:00;13;6.953;6.373;13.326;654;654;1;654
2016-02-05 14:00;14;262.062;385.073;647.135;2137;702;141;1260
2016-02-05 15:00;15;25.115;18.819;43.934;489;374;5;489
2016-02-05 16:00;16;38.301;39.427;77.728;1150;540;10;1150
2016-02-05 17:00;17;29.741;27.345;57.086;719;415;6;719
2016-02-05 18:00;18;284.222;402.419;686.641;1650;677;138;1241
2016-02-05 19:00;19;62.423;72.265;134.688;1406;679;22;1332
2016-02-05 20:00;20;113.098;151.539;264.637;1252;567;50;1086
2016-02-05 21:00;21;169.628;230.256;399.884;1800;721;82;1556
2016-02-05 22:00;22;29.457;21.129;50.586;638;412;4;638
2016-02-05 23:00;23;123.957;169.991;293.948;1260;615;56;1162
2016-02-06 00:00;0;187.649;269.523;457.172;1985;659;93;1478
2016-02-06 01:00;1;185.915;257.232;443.147;1874;714;93;1505
2016-02-06 02:00;2;157.597;234.173;391.770;2261;650;76;1128
2016-02-06 03:00;3;353.888;515.063;868.951;2190;768;165;1462
2016-02-06 04:00;4;387.551;569.197;956.748;2109;747;189;1395
2016-02-06 05:00;5;214.629;305.730;520.359;2516;795;96;1736
2016-02-06 06:00;6;178.566;251.243;429.809;1979;698;85;1365
2016-02-06 07:00;7;157.862;236.118;393.980;1858;748;67;1249
2016-02-06 08:00;8;337.953;479.997;817.950;2052;709;161;1229
2016-02-06 09:00;9;66.432;91.026;157.458;1275;742;28;1206
2016-02-06 11:00;11;301.458;439.679;741.137;2256;801;137;1783
2016-02-06 12:00;12;113.573;144.947;258.520;1922;720;49;1310
2016-02-06 13:00;13;458.262;660.290;1118.552;2116;744;229;1367
2016-02-06 14:00;14;63.202;74.471;137.673;1188;624;20;1033
2016-02-06 15:00;15;30.890;25.591;56.481;666;436;4;666
2016-02-06 16:00;16;79.950;105.066;185.016;1248;596;33;1226
2016-02-06 17:00;17;34.129;30.733;64.862;939;472;5;939
2016-02-06 18:00;18;45.668;48.179;93.847;1092;566;13;1092
2016-02-06 19:00;19;136.838;189.448;326.286;1145;578;67;1047
2016-02-06 20:00;20;29.383;21.237;50.620;310;310;1;310
2016-02-06 21:00;21;36.076;32.018;68.094;1363;526;9;1363
2016-02-06 22:00;22;32.503;30.513;63.016;742;397;5;742
2016-02-06 23:00;23;101.984;139.548;241.532;1321;641;45;1047
2016-02-07 00:00;0;49.706;49.635;99.341;1086;615;12;1086
2016-02-07 01:00;1;90.887;115.710;206.597;1594;655;32;1350
2016-02-07 02:00;2;50.040;53.911;103.951;1087;565;16;1087
2016-02-07 03:00;3;69.195;81.663;150.858;1203;538;24;993
2016-02-07 04:00;4;31.652;39.931;71.583;3365;688;10;3365
2016-02-07 05:00;5;52.916;61.826;114.742;1396;647;13;1396
2016-02-07 06:00;6;41.795;43.940;85.735;1182;437;7;1182
2016-02-07 07:00;7;202.947;291.356;494.303;1205;605;97;1155
2016-02-07 08:00;8;55.351;61.557;116.908;1333;682;14;1333
2016-02-07 09:00;9;34.182;32.733;66.915;826;499;6;826
2016-02-07 10:00;10;145.438;197.517;342.955;1273;610;68;1152
2016-02-07 11:00;11;190.908;283.202;474.110;2724;768;84;1425
2016-02-07 12:00;12;138.441;202.165;340.606;2461;774;56;1653
2016-02-07 13:00;13;205.184;273.867;479.051;1618;647;96;1189
2016-02-07 14:00;14;103.766;135.127;238.893;2077;671;39;1359
2016-02-07 15:00;15;33.432;26.991;60.423;404;341;3;404
2016-02-07 16:00;16;39.518;66.694;106.212;1707;787;7;1707
2016-02-07 17:00;17;52.043;85.067;137.110;8495;1096;16;8495
2016-02-07 18:00;18;88.455;270.858;359.313;18249;1832;32;11459
2016-02-07 19:00;19;397.216;2767.686;3164.902;10136;1010;466;1960
